image;height;width;type;original_dataset;scenario;airport;runway;time_to_landing;weather;night;time;lat;lon;alt;yaw;pitch;roll;slant_distance;along_track_distance;height_above_runway;lateral_path_angle;vertical_path_angle;watermark_height;runway_in_cone;x_TR;y_TR;x_TL;y_TL;x_BL;y_BL;x_BR;y_BR
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_010_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/04/2020 13:00;53.366077;-113.529949;950.545973;-148.336806;84.641305;7.270606;2.398597;2.39524;782.886273;0.234588;2.821001;0;IN_ODD;555;450;549;451;546;472;558;470
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_011_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/07/2020 15:00;53.363538;-113.527436;981.96502;-139.008167;86.798385;-2.870291;2.331025;2.321904;885.967138;-3.734219;3.289637;0;IN_ODD;454;491;447;491;468;515;480;516
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_012_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/04/2020 12:00;53.362273;-113.533454;888.120949;-150.387341;88.196239;-0.419547;2.137709;2.135649;578.079757;-0.46945;2.308336;0;IN_ODD;601;506;594;506;593;524;606;524
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_013_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/07/2020 16:00;53.362368;-113.534654;928.199991;-137.259597;86.451249;0.639386;2.118841;2.115611;709.572681;0.573199;2.871749;0;IN_ODD;387;485;380;485;373;508;386;507
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_014_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/08/2020 16:00;53.359331;-113.537851;917.742415;-142.044427;86.166447;2.199886;1.903373;1.900199;675.263049;0.335848;3.021347;0;IN_ODD;464;481;456;481;450;506;465;506
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_015_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/06/2020 16:00;53.356896;-113.54013;886.130559;-143.710758;91.608691;2.044714;1.735768;1.73332;571.549605;-0.172857;2.778316;0;IN_ODD;497;561;489;561;486;586;502;585
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_016_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/07/2020 16:00;53.354645;-113.544795;888.464264;-144.794881;86.447195;-2.006734;1.530317;1.526376;579.206118;2.066327;3.166485;0;IN_ODD;497;482;489;482;465;510;483;511
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_017_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/08/2020 10:00;53.353688;-113.542907;913.670628;-146.776377;88.240411;2.870959;1.52221;1.518108;661.904167;-1.263876;3.64503;0;IN_ODD;550;512;542;512;549;546;567;545
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_018_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/06/2020 14:00;53.351832;-113.545233;867.934155;-146.873217;84.608257;3.52654;1.381508;1.378776;511.850115;-1.188182;3.065873;0;IN_ODD;547;450;539;450;544;480;565;479
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_019_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/08/2020 13:00;53.351484;-113.545461;860.931241;-150.738416;86.599813;-1.458104;1.359587;1.35692;488.874675;-1.429232;2.968566;0;IN_ODD;614;485;605;485;610;514;631;515
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_020_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/04/2020 10:00;53.351756;-113.548739;850.910155;-156.059999;86.953473;11.029807;1.306975;1.302795;455.997096;3.171833;2.86686;0;IN_ODD;659;458;650;459;620;495;641;491
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_021_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/08/2020 16:00;53.35016;-113.548048;878.42547;-146.328371;84.990292;-5.587608;1.241595;1.238436;546.270442;-0.137892;3.60933;0;IN_ODD;541;463;531;462;522;499;544;501
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_022_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/05/2020 10:00;53.345991;-113.552646;810.703362;-142.979487;89.483616;1.351432;0.939806;0.938307;324.08504;-0.638321;2.713479;0;IN_ODD;487;522;477;522;474;555;503;554
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_023_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/08/2020 13:00;53.344284;-113.553202;819.298458;-148.617411;82.788125;5.939124;0.846269;0.842779;352.284177;-3.5755;3.235305;0;IN_ODD;579;412;569;413;598;452;632;448
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_024_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/08/2020 11:00;53.343148;-113.556793;785.885528;-147.012983;85.454748;-5.480251;0.714075;0.712836;242.6617;1.151829;2.553031;0;IN_ODD;547;459;536;458;505;490;544;494
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_025_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/07/2020 10:00;53.34241;-113.555875;791.050897;-145.388988;85.723006;0.359622;0.697645;0.695397;259.608447;-3.134446;2.788999;0;IN_ODD;535;461;524;461;543;500;583;499
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_026_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/06/2020 13:00;53.340593;-113.558097;769.841162;-137.123161;86.433235;6.398512;0.561975;0.560102;190.0227;-3.568017;2.417981;0;IN_ODD;402;481;390;482;417;517;467;511
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_027_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/04/2020 13:00;53.339816;-113.559323;778.96142;-149.268512;85.923387;0.837;0.49845;0.496563;219.944808;-2.927589;3.082637;0;IN_ODD;592;462;579;462;592;512;649;511
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_028_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/07/2020 12:00;53.338336;-113.562363;762.456775;-136.839037;85.400765;-4.411257;0.362357;0.361084;165.795708;2.147185;2.925635;0;IN_ODD;388;443;375;442;309;493;388;498
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_029_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/04/2020 13:00;53.335772;-113.564661;744.169431;-143.755015;85.666306;1.744805;0.188313;0.187418;105.797859;-2.029269;2.796179;0;IN_ODD;499;453;485;454;447;529;595;524
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_030_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/07/2020 13:00;53.26469;-113.644471;987.209416;28.776649;82.636244;-14.892836;3.165173;3.160041;915.51549;1.594483;2.655251;0;IN_ODD;613;448;607;446;592;459;601;461
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_031_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/04/2020 15:00;53.268131;-113.644649;1022.540768;31.453604;85.284766;-1.741119;2.999186;2.994031;1031.432002;-0.674285;3.13708;0;IN_ODD;575;471;569;471;570;491;579;491
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_032_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/06/2020 16:00;53.268781;-113.642794;991.250165;39.570796;83.232605;0.835918;2.927934;2.923766;928.77254;-0.05138;2.894488;0;IN_ODD;440;436;434;436;433;454;442;454
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_033_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 14:00;53.270665;-113.642578;983.347237;29.741095;84.660901;10.099205;2.831059;2.826429;902.844297;-1.231641;2.904285;0;IN_ODD;595;441;589;442;597;460;606;458
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_034_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 15:00;53.271625;-113.639139;1047.537829;31.729376;86.923051;0.009183;2.714686;2.708256;1113.443358;0.171502;3.710337;0;IN_ODD;561;500;555;500;551;524;561;524
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_035_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/06/2020 14:00;53.271525;-113.638591;1016.096815;39.704514;86.274322;4.616103;2.70738;2.701889;1010.290423;0.588169;3.380249;0;IN_ODD;432;493;426;493;421;516;432;515
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_036_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/04/2020 15:00;53.274959;-113.645732;1032.85682;28.91444;84.713445;0.420696;2.701895;2.679603;1065.277317;-6.414873;3.567989;0;IN_EXTENDED_ODD;667;463;661;463;699;487;710;487
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_037_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/08/2020 14:00;53.272449;-113.639826;955.822824;29.786597;85.563346;6.422363;2.685536;2.681809;812.541103;-0.864799;2.750262;0;IN_ODD;596;459;590;460;594;478;605;477
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_038_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 10:00;53.27232;-113.638372;1058.53677;37.892092;87.780235;3.372015;2.665119;2.658156;1149.529125;0.149632;3.894865;0;IN_ODD;466;517;460;517;458;543;468;543
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_039_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/08/2020 14:00;53.272213;-113.637455;982.864044;41.653882;86.942837;2.657956;2.649259;2.6446;901.259019;0.817552;3.082801;0;IN_ODD;400;499;394;499;387;520;398;520
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_040_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/06/2020 10:00;53.27737;-113.634703;953.348003;32.368436;83.949551;-3.391686;2.338199;2.333678;804.42161;-1.412893;3.092728;0;IN_ODD;570;449;563;449;568;471;580;472
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_041_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 10:00;53.277505;-113.631592;949.757597;31.327903;87.044331;2.365747;2.267134;2.26298;792.642063;0.756203;3.13574;0;IN_ODD;562;492;555;492;548;515;560;515
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_042_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/07/2020 10:00;53.279292;-113.627652;922.008113;32.461583;89.035127;-0.521362;2.09896;2.093777;701.600447;2.329302;2.984511;0;IN_ODD;532;523;525;523;505;545;518;545
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_043_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/06/2020 11:00;53.281343;-113.631057;929.017773;36.618782;86.645515;-3.074872;2.067975;2.062749;724.59802;-2.383255;3.121985;0;IN_ODD;509;486;502;486;514;511;527;512
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_044_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/04/2020 11:00;53.280935;-113.628533;908.435696;35.228024;86.77411;-0.997389;2.033932;2.030922;657.071519;0.078796;2.879374;0;IN_ODD;509;486;502;486;497;508;511;509
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_045_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 13:00;53.284483;-113.627522;871.62328;33.545399;87.21967;-1.812641;1.839416;1.835186;536.295872;-2.773622;2.583727;0;IN_ODD;558;491;550;491;566;513;581;513
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_046_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/08/2020 14:00;53.284033;-113.624292;888.950193;23.927987;82.317011;4.439228;1.793789;1.790845;593.1427;0.705959;2.916686;0;IN_ODD;674;403;666;404;657;430;673;429
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_047_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/07/2020 16:00;53.287297;-113.618446;870.063783;40.354082;86.462591;0.532749;1.514628;1.509583;531.17941;3.149589;3.043388;0;IN_ODD;408;481;399;481;367;510;385;510
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_048_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/08/2020 16:00;53.289897;-113.618952;861.341954;28.901938;88.891077;1.958327;1.394494;1.391818;502.564484;-0.865846;3.099165;0;IN_ODD;614;513;606;514;608;544;628;543
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_049_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/04/2020 13:00;53.2899;-113.618034;883.391678;28.80966;87.95693;4.145905;1.376129;1.37274;574.906103;0.250542;3.579192;0;IN_ODD;607;499;599;500;592;535;613;534
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_050_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 10:00;53.296861;-113.609925;800.956962;37.313251;86.531199;3.386973;0.864249;0.862696;304.450989;0.473023;2.846255;0;IN_ODD;474;476;464;477;449;513;481;511
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_051_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/06/2020 11:00;53.297572;-113.610007;793.0057;44.875055;85.219579;-3.162921;0.830873;0.829354;278.364169;-1.360501;2.692048;0;IN_ODD;370;444;360;444;360;479;394;480
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_052_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/08/2020 11:00;53.29998;-113.607865;801.279181;36.613899;84.597772;-7.388185;0.669568;0.666547;305.508138;-3.343317;3.509295;0;IN_ODD;513;445;502;443;517;495;558;500
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_053_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/07/2020 15:00;53.300606;-113.60702;769.086137;31.076904;85.076115;-2.083722;0.620187;0.618319;199.887911;-3.279401;2.454246;0;IN_ODD;592;449;580;449;599;486;644;488
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_054_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/04/2020 10:00;53.301578;-113.605442;776.013967;38.394645;85.480132;0.189366;0.539573;0.537866;222.617014;-2.354443;3.033097;0;IN_ODD;471;455;459;455;467;502;518;502
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_055_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 13:00;53.302468;-113.604193;778.70458;34.593776;87.136804;4.699796;0.470153;0.468326;231.444482;-1.920526;3.490122;0;IN_ODD;526;480;513;481;517;539;576;534
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_056_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/06/2020 13:00;53.302447;-113.60373;776.060693;27.222596;86.471368;1.201315;0.461297;0.459796;222.770314;-0.161939;3.407407;0;IN_ODD;637;468;624;468;602;526;663;525
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_057_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 11:00;53.303848;-113.602182;753.2646;37.402984;87.52736;1.431247;0.359768;0.358902;147.979978;-0.574702;2.707313;0;IN_ODD;480;483;467;484;442;535;519;533
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_058_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/07/2020 16:00;53.305873;-113.599762;749.542371;31.518965;84.56439;0.30854;0.210448;0.20923;135.76794;-0.419858;3.455833;0;IN_ODD;571;436;557;436;503;522;635;522
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_059_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;2;;;;01/05/2020 10:00;53.306583;-113.599036;739.119731;32.121175;88.481906;5.350916;0.160227;0.159279;101.572927;-1.585208;2.985259;0;IN_ODD;562;490;548;491;497;582;671;567
images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_000_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38;CYYC;26;;;;01/07/2020 13:00;51.103776;-113.918726;1494.56658;-93.481867;88.715625;2.291013;3.215914;3.208849;1350.470421;-0.198884;3.607602;0;IN_ODD;573;537;567;537;567;551;575;551
images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_001_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38;CYYC;26;;;;01/04/2020 15:00;51.10404;-113.919579;1438.882442;-94.271242;82.79463;8.435277;3.181717;3.176464;1167.779673;0.083295;3.130337;0;IN_ODD;570;432;564;433;564;445;572;444
images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_002_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38;CYYC;26;;;;01/08/2020 15:00;51.104927;-113.922529;1359.909647;-94.316351;83.992204;0.772328;3.068403;3.064671;908.682567;1.077156;2.489318;0;IN_ODD;569;451;563;451;558;461;566;461
images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_003_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38;CYYC;26;;;;01/05/2020 15:00;51.105406;-113.923386;1386.222472;-95.01306;83.736665;-2.870028;3.03737;3.032233;995.010736;1.63139;2.769758;0;IN_ODD;577;454;571;454;563;465;571;465
images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_004_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38;CYYC;26;;;;01/06/2020 11:00;51.105541;-113.93148;1332.279149;-90.595202;85.827229;2.021546;2.730549;2.726044;818.031324;1.969458;2.504499;0;IN_ODD;502;480;495;480;486;492;495;491
images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_005_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38;CYYC;26;;;;01/07/2020 15:00;51.102761;-113.931978;1347.830295;-93.945962;87.075159;0.839369;2.711903;2.70752;869.052147;-1.550664;2.689338;0;IN_ODD;594;500;588;500;593;512;602;512
images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_006_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38;CYYC;26;;;;01/04/2020 10:00;51.102218;-113.933232;1400.641548;-87.395642;86.889188;4.415566;2.667432;2.660254;1042.317417;-2.281562;3.312428;0;IN_ODD;501;506;494;507;504;521;513;520
images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_007_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38;CYYC;26;;;;01/06/2020 16:00;51.105644;-113.933554;1319.159111;-83.851102;89.067906;-4.416856;2.652121;2.647583;774.986579;2.157882;2.434802;0;IN_ODD;395;520;388;519;377;530;386;531
