row_index,image,airport,runway,mask_source,height_agl_m,runway_area_px,mask_iou_vs_gt,yaw_gt,lat_gt,yaw_est,lat_est,yaw_err_deg,lat_err_m,dice,cost,converged,n_coarse,n_refine,height_bin,area_bin
29,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_029_FLSim.jpg,CYEG,20,yolo,32.2471874232,11248.0,0.6125155408205554,-143.755015,11.78591956596462,-143.7478809253799,10.864296899285325,0.007134074620097408,-0.9216226666792959,0.6927999594680091,0.04118287190794945,False,867,3,low,high
34,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_034_FLSim.jpg,CYEG,2,yolo,339.3775355184,240.0,0.6274509803921569,31.729376,-23.137737889140954,31.95777384961746,-3.1377378891409506,0.2283978496174619,20.000000000000004,0.32881441946928,0.006166154984384775,False,867,2,high,low
36,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_036_FLSim.jpg,CYEG,2,yolo,324.69652622160004,1176.0,0.36186770428015563,28.91444,549.849915081267,29.196539244617018,540.849915081267,0.28209924461701874,-9.0,0.3788897656542825,0.002596193691715598,False,867,2,high,mid
38,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_038_FLSim.jpg,CYEG,2,yolo,350.37647730000003,260.0,0.75,37.892092,-20.91042488371727,37.892092,-25.91042488371727,0.0,-5.0,0.39565084917028404,0.005567172542214394,False,867,1,high,low
40,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_040_FLSim.jpg,CYEG,2,yolo,245.187706728,391.0,0.5230769230769231,32.368436,99.54103782965363,32.37076179301481,77.54103782965363,0.0023257930148048445,-22.0,0.3286920390231762,0.006049876566976309,False,867,2,high,low
43,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_043_FLSim.jpg,CYEG,2,yolo,220.857476496,650.0,0.657608695652174,36.618782,152.78044543032198,36.618782,140.78044543032198,0.0,-12.0,0.4254208745295044,0.004942398518323898,False,867,1,high,mid
44,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_044_FLSim.jpg,CYEG,2,yolo,200.2753989912,322.0,0.839344262295082,35.228024,-11.303322940376425,35.478024,9.696677059623575,0.25,21.0,0.4608934007173371,0.004877019207924604,False,867,1,high,low
46,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_046_FLSim.jpg,CYEG,2,yolo,180.78989496,459.0,0.5632458233890215,23.927987,-46.24071522311079,24.427987,-21.240715223110783,0.5,25.000000000000007,0.5223930711840347,0.005494685377925634,False,867,1,high,low
48,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_048_FLSim.jpg,CYEG,2,yolo,153.1816547232,682.0,0.6802325581395349,28.901938,34.771013277886375,28.901938,31.771013277886375,0.0,-3.0,0.529651166088606,0.008223048411309719,False,867,1,mid,mid
49,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_049_FLSim.jpg,CYEG,2,yolo,175.23138019440003,756.0,0.7296466973886329,28.80966,-15.258964713046886,29.057242239202893,-7.258964713046886,0.24758223920289169,8.0,0.6920516825570822,0.0035832147113978863,False,867,3,mid,mid
50,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_050_FLSim.jpg,CYEG,2,yolo,92.79666144720001,1184.0,0.8361581920903954,37.313251,-15.766313719207508,37.55209481699438,-4.76631371920751,0.2388438169943754,10.999999999999998,0.7140561877256747,0.004489209037274122,False,867,2,mid,mid
51,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_051_FLSim.jpg,CYEG,2,yolo,84.8453987112,1224.0,0.8375136314067612,44.875055,33.976046353879475,44.625055,26.976046353879475,-0.25,-7.0,0.6926743100188186,0.005377942230552435,False,867,1,mid,mid
52,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_052_FLSim.jpg,CYEG,2,yolo,93.1188804624,3192.0,0.797776233495483,36.613899,70.10964253540864,36.613899,65.10964253540864,0.0,-5.0,0.488673692510772,0.02004207670688629,False,867,1,mid,high
54,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_054_FLSim.jpg,CYEG,2,yolo,67.85366586720001,2773.0,0.832,38.394645,39.328775605181946,38.144645,31.328775605181946,-0.25,-8.0,0.38341635958826925,0.03340544179081917,False,867,1,low,high
57,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_057_FLSim.jpg,CYEG,2,yolo,45.1042972944,4004.0,0.7159442724458205,37.402984,5.574392000631751,37.32049404790108,4.2091990091824405,-0.08248995209891774,-1.3651929914493106,0.5988875172595942,0.0268949493765831,False,867,2,low,high
58,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_058_FLSim.jpg,CYEG,2,yolo,41.382068112000006,11352.0,0.6710020691693763,31.518965,2.1741327989486803,31.518965,0.17413279894867983,0.0,-2.0000000000000004,0.7021316238965479,0.03960156440734863,False,867,1,low,high
59,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_059_FLSim.jpg,CYEG,2,yolo,30.959428149600004,16008.0,0.6199869224062773,32.121175,7.683025008902486,32.303550002896074,8.193789318753321,0.1823750028960731,0.5107643098508357,0.6464328159849604,0.05307355523109436,False,867,3,low,high
87,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_022_FLSim.jpg,CYYC,26,yolo,134.5712339304,598.0,0.0,-84.061397,-15.438440460606033,-85.311397,-23.43844046060603,-1.25,-7.999999999999998,5.024096896279417e-08,0.0053480141796171665,False,867,1,mid,low
88,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_022_FLSim.jpg,CYYC,29,yolo,138.25320299519998,598.0,0.5357766143106457,-84.061397,-25.970010217497716,-83.811397,-22.970010217497716,0.25,3.0,0.5608133693445628,0.007272813934832811,False,867,1,mid,low
94,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_029_FLSim.jpg,CYYC,26,yolo,47.973525084,7931.0,0.7573069945575489,-91.229709,0.7444578150736471,-91.08978001586274,2.3332279246826757,0.1399289841372564,1.5887701096090288,0.7199963358497722,0.029353611171245575,False,867,4,low,high
123,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_058_FLSim.jpg,CYYC,8,yolo,43.882250157600005,7725.0,0.7369633507853404,87.889115,5.188476563614439,87.889115,4.18847656361444,0.0,-0.9999999999999991,0.7185103433468831,0.029735777527093887,False,867,1,low,high
124,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_059_FLSim.jpg,CYYC,8,yolo,37.022606676,9048.0,0.6979646697388633,87.713362,5.095985732761495,87.713362,4.095985732761495,0.0,-1.0,0.6972566789286463,0.034050650894641876,False,867,1,low,high
138,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_073_FLSim.jpg,CYYC,29,yolo,177.9704608224,252.0,0.7258064516129032,-54.801474,16.20193299786554,-54.801474,17.20193299786554,0.0,1.0,0.36834013348452294,0.006512372754514217,False,867,1,high,low
139,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_074_FLSim.jpg,CYYC,29,yolo,169.86165397680003,837.0,0.0,-62.517904,175.24855880324932,-61.267904,169.24855880324932,1.25,-6.0,8.564928321928282e-08,0.002287043957039714,False,867,1,mid,mid
146,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_084_FLSim.jpg,CYYC,29,yolo,73.8509152392,1848.0,0.7369242779078845,-72.285284,-2.550889230363777,-72.035284,0.4491107696362242,0.25,3.0000000000000013,0.5982372468809759,0.01500712800770998,False,867,1,low,high
147,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_085_FLSim.jpg,CYYC,29,yolo,62.2716516312,2279.0,0.7509603072983355,-58.709547,20.836537510195235,-58.459547,25.836537510195235,0.25,5.0,0.42202435333827215,0.03217348828911781,False,867,1,low,high
149,images/flsim/CYYC/CYYC-8-26-11-29-17L-35R-17R-35L__10-smpl__10h38_087_FLSim.jpg,CYYC,29,yolo,49.753167244800004,4980.0,0.7373737373737373,-52.659976,8.86580908721315,-52.409976,13.865809087213151,0.25,5.000000000000002,0.7191855058809475,0.02433185465633869,False,867,1,low,high
